fullname;name;surname;patronim
Міхеіл Саакашвілі;Міхеіл|Міхеіла|Міхеілові|Міхеілу|Міхеілом;Саакашвілі;
Святослав Вакарчук;Святослав|Святослава|Святославові|Святославу|Святославом;Вакарчук|Вакарчука|Вакарчукові|Вакарчуку|Вакарчуком;Іванович|Івановича|Івановичу|Івановичем
Вадим Рабінович;Вадим|Вадима|Вадимові|Вадиму|Вадимом;Рабінович|Рабіновича|Рабіновичеві|Рабіновичу|Рабіновичем|Рабіновичі;Зіновійович|Зіновійовича|Зіновійовичу|Зіновійовичем
Олексій Гончаренко;Олексій|Олексія|Олексію|Олексієві|Олексієм|Олексії;Гончаренко|Гончаренка|Гончаренку|Гончаренкові|Гончаренком;Олексійович|Олексійовича|Олексійовичу|Олексійовичем
Віталій Кличко;Віталій|Віталія|Віталію|Віталієві|Віталієм|Віталії;Кличко|Кличка|Кличку|Кличкові|Кличком;Володимирович|Володимировича|Володимировичу|Володимировичем
Юрій Бойко;Юрій|Юрія|Юрію|Юрієві|Юрієм|Юрії;Бойко|Бойка|Бойку|Бойкові|Бойком;Анатолійович|Анатолійовича|Анатолійовичу|Анатолійовичем
Ігор Коломойський;Ігор|Ігоря|Ігорю|Ігореві|Ігорем|Ігорі;Коломойський|Коломойського|Коломойському|Коломойським;Валерійович|Валерійовича|Валерійовичу|Валерійовичем
Рінат Ахметов;Рінат|Ріната|Рінатові|Рінату|Рінатом;Ахметов|Ахметова|Ахметову|Ахметовим|Ахметові;Леонідович|Леонідовича|Леонідовичу|Леонідовичем
Уляна Супрун;Уляна|Уляни|Уляні|Уляну|Уляною|Улянi;Супрун;
Дмитро Разумков;Дмитро|Дмитра|Дмитру|Дмитрові|Дмитром|Дмитрі;Разумков|Разумкова|Разумкову|Разумковим|Разумкові;Олександрович|Олександровича|Олександровичу|Олександровичем
Віктор Ляшко;Віктор|Віктора|Вікторові|Віктору|Віктором;Ляшко|Ляшка|Ляшку|Ляшкові|Ляшком;Кирилович|Кириловича|Кириловичу|Кириловичем
Андрій Єрмак;Андрій|Андрія|Андрію|Андрієві|Андрієм|Андрії;Єрмак|Єрмака|Єрмакові|Єрмаку|Єрмаком;Борисович|Борисовича|Борисовичу|Борисовичем
Гео Лерос;Гео;Лерос|Лероса|Леросові|Леросу|Леросом;Багратович|Багратовича|Багратовичу|Багратовичем
Іван Баканов;Іван|Івана|Іванові|Івану|Іваном;Баканов|Баканова|Баканову|Бакановим|Баканові;Геннадійович|Геннадійовича|Геннадійовичу|Геннадійовичем
Артем Ситник;Артем|Артема|Артемові|Артему|Артемом;Ситник|Ситника|Ситникові|Ситнику|Ситником;Сергійович|Сергійовича|Сергійовичу|Сергійовичем
Назар Холодницький;Назар|Назара|Назарові|Назару|Назаром;Холодницький|Холодницького|Холодницькому|Холодницьким;Іванович|Івановича|Івановичу|Івановичем
Руслан Рябошапка;Руслан|Руслана|Русланові|Руслану|Русланом;Рябошапка|Рябошапки|Рябошапці|Рябошапку|Рябошапкою;Георгійович|Георгійовича|Георгійовичу|Георгійовичем
Вадим Новинський;Вадим|Вадима|Вадимові|Вадиму|Вадимом;Новинський|Новинського|Новинському|Новинським;Владиславович|Владиславовича|Владиславовичу|Владиславовичем
Наталія Королевська;Наталія|Наталії|Наталію|Наталією;Королевська|Королевської|Королевській|Королевську|Королевською;Юріївна|Юріївни|Юріївні|Юріївну|Юріївною
Нестор Шуфрич;Нестор|Нестора|Несторові|Нестору|Нестором;Шуфрич|Шуфрича|Шуфричеві|Шуфричу|Шуфричем|Шуфричі;Іванович|Івановича|Івановичу|Івановичем
Максим Нефьодов;Максим|Максима|Максимові|Максиму|Максимом;Нефьодов|Нефьодова|Нефьодову|Нефьодовим|Нефьодові;Євгенович|Євгеновича|Євгеновичу|Євгеновичем
Вадим Пристайко;Вадим|Вадима|Вадимові|Вадиму|Вадимом;Пристайко|Пристайка|Пристайку|Пристайкові|Пристайком;Володимирович|Володимировича|Володимировичу|Володимировичем
Андрій Портнов;Андрій|Андрія|Андрію|Андрієві|Андрієм|Андрії;Портнов|Портнова|Портнову|Портновим|Портнові;Володимирович|Володимировича|Володимировичу|Володимировичем
Владислав Криклій;Владислав|Владислава|Владиславові|Владиславу|Владиславом;Криклій|Криклія|Криклію|Криклієві|Криклієм|Криклії;Артурович|Артуровича|Артуровичу|Артуровичем
Олександр Ткаченко;Олександр|Олександра|Олександрові|Олександру|Олександром;Ткаченко|Ткаченка|Ткаченку|Ткаченкові|Ткаченком;Владиславович|Владиславовича|Владиславовичу|Владиславовичем
Геннадій Кернес;Геннадій|Геннадія|Геннадію|Геннадієві|Геннадієм|Геннадії;Кернес|Кернеса|Кернесові|Кернесу|Кернесом;Адольфович|Адольфовича|Адольфовичу|Адольфовичем
Геннадій Труханов;Геннадій|Геннадія|Геннадію|Геннадієві|Геннадієм|Геннадії;Труханов|Труханова|Труханову|Трухановим|Труханові;Леонідович|Леонідовича|Леонідовичу|Леонідовичем
Андрій Садовий;Андрій|Андрія|Андрію|Андрієві|Андрієм|Андрії;Садовий|Садового|Садовому|Садовим;Іванович|Івановича|Івановичу|Івановичем
Борис Філатов;Борис|Бориса|Борисові|Борису|Борисом;Філатов|Філатова|Філатову|Філатовим|Філатові;Альбертович|Альбертовича|Альбертовичу|Альбертовичем
Олексій Гончарук;Олексій|Олексія|Олексію|Олексієві|Олексієм|Олексії;Гончарук|Гончарука|Гончарукові|Гончаруку|Гончаруком;Валерійович|Валерійовича|Валерійовичу|Валерійовичем
Денис Шмигаль;Денис|Дениса|Денисові|Денису|Денисом;Шмигаль|Шмигаля|Шмигалю|Шмигалеві|Шмигалем|Шмигалі;Анатолійович|Анатолійовича|Анатолійовичу|Анатолійовичем
Денис Малюська;Денис|Дениса|Денисові|Денису|Денисом;Малюська|Малюськи|Малюсьці|Малюською|Малюську;Леонтійович|Леонтійовича|Леонтійовичу|Леонтійовичем
